Index,Date,URL,date,time,key,timestamp_dt,label,label_int
47061,2043847_2024-08-08_20:11:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/13783/2043847/dynamic_spectra/LOFAR_20240808_201100_LBA_OUTER_S0.fits,2024-08-08,20:11:00.000000,2043847_2024-08-08_20:11:00.000000,2024-08-08 20:11:00,II/2    359,2
35804,2029104_2024-03-23_01:08:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/11772/2029104/dynamic_spectra/LOFAR_20240323_010800_LBA_OUTER_S0.fits,2024-03-23,01:08:00.000000,2029104_2024-03-23_01:08:00.000000,2024-03-23 01:08:00,II/2    791,2
46180,2042328_2024-07-22_09:28:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/12804/2042328/dynamic_spectra/LOFAR_20240722_092800_LBA_OUTER_S0.fits,2024-07-22,09:28:00.000000,2042328_2024-07-22_09:28:00.000000,2024-07-22 09:28:00,II/2    536,2
14419,2022430_2023-07-16_19:12:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4697/2022430/dynamic_spectra/LOFAR_20230716_191200_LBA_OUTER_S0.fits,2023-07-16,19:12:00.000000,2022430_2023-07-16_19:12:00.000000,2023-07-16 19:12:00,II/2    567,2
14859,2021311_2023-07-07_09:58:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4659/2021311/dynamic_spectra/LOFAR_20230707_095800_LBA_OUTER_S0.fits,2023-07-07,09:58:00.000000,2021311_2023-07-07_09:58:00.000000,2023-07-07 09:58:00,II/1    601,2
19596,2025187_2023-09-17_16:07:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4839/2025187/dynamic_spectra/LOFAR_20230917_160700_LBA_OUTER_S0.fits,2023-09-17,16:07:00.000000,2025187_2023-09-17_16:07:00.000000,2023-09-17 16:07:00,II/1    344,2
38703,2029299_2024-04-24_14:14:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/12341/2029299/dynamic_spectra/LOFAR_20240424_141400_LBA_OUTER_S0.fits,2024-04-24,14:14:00.000000,2029299_2024-04-24_14:14:00.000000,2024-04-24 14:14:00,II/3    379,2
14822,2021311_2023-07-07_10:13:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4659/2021311/dynamic_spectra/LOFAR_20230707_101300_LBA_OUTER_S0.fits,2023-07-07,10:13:00.000000,2021311_2023-07-07_10:13:00.000000,2023-07-07 10:13:00,II/1    601,2
29937,2028693_2024-01-14_11:40:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/5705/2028693/dynamic_spectra/LOFAR_20240114_114000_LBA_OUTER_S0.fits,2024-01-14,11:40:00.000000,2028693_2024-01-14_11:40:00.000000,2024-01-14 11:40:00,II/2    420,2
32859,2028897_2024-02-17_13:24:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/5867/2028897/dynamic_spectra/LOFAR_20240217_132400_LBA_OUTER_S0.fits,2024-02-17,13:24:00.000000,2028897_2024-02-17_13:24:00.000000,2024-02-17 13:24:00,II/2    816,2
7015,868448_2022-08-18_10:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4131/868448/dynamic_spectra/LOFAR_20220818_104500_LBA_OUTER_S0.fits,2022-08-18,10:45:00.000000,868448_2022-08-18_10:45:00.000000,2022-08-18 10:45:00,II/1    749,2
